,Estado,data,Prec_min,Prec_mean,Prec_max,ano,mes,dia
327,AC,2022-05-14,0.0,0.04129639534140699,4.261193208396435,2022,05,14
328,MA,2022-05-14,0.0,2.0038432077899553,33.97008360561449,2022,05,14
329,SC,2022-05-14,0.0,5.575019445896127,78.5919644087553,2022,05,14
330,RO,2022-05-14,0.0,1.1812511331744264,32.08302894234657,2022,05,14
331,AM,2022-05-14,0.0,4.780297497671194,43.72205114283133,2022,05,14
332,SE,2022-05-14,0.0,1.0881491831432073,8.102311074733734,2022,05,14
333,MS,2022-05-14,0.0,22.647207581714593,134.91983042284846,2022,05,14
334,MG,2022-05-14,0.0,0.214835485664126,9.660222850363581,2022,05,14
335,AL,2022-05-14,0.0,0.8798083227311918,9.355517761781812,2022,05,14
336,ES,2022-05-14,0.0,0.19977181991218446,6.296634145081043,2022,05,14
337,TO,2022-05-14,0.0,1.592372145386179,26.28959877276793,2022,05,14
338,MT,2022-05-14,0.0,0.749278123038183,32.62081820776982,2022,05,14
339,PR,2022-05-14,0.0,15.710872085098254,103.52200668561272,2022,05,14
340,PA,2022-05-14,0.0,6.596237950339785,72.62486307346262,2022,05,14
341,BA,2022-05-14,0.0,0.8414173422855986,39.19045078822779,2022,05,14
342,RN,2022-05-14,0.0,3.732454887469875,22.315472912043333,2022,05,14
343,RJ,2022-05-14,0.0,0.0010342058226474515,1.0276819467544556,2022,05,14
344,SP,2022-05-14,0.0,3.0846878479673987,60.12744756415486,2022,05,14
